beta,day,prop_infected
0.02,0,0.001
0.02,1,0.0008771228571428572
0.02,2,0.0007693441560241553
0.02,3,0.0006748087671797216
0.02,4,0.0005918894802769319
0.02,5,0.0005191590065277845
0.02,6,0.00045536541933292104
0.02,7,0.00039941061115529244
0.02,8,0.00035033139636484525
0.02,9,0.00030728293520619013
0.02,10,0.0002695241938917901
0.02,11,0.00023640519079235302
0.02,12,0.00020735580938010896
0.02,13,0.00018187598550331756
0.02,14,0.00015952710019177265
0.02,15,0.00013992442991728825
0.02,16,0.0001227305244149231
0.02,17,0.00010764939812149073
0.02,18,9.442143528111181e-05
0.02,19,8.281892104317718e-05
0.02,20,7.264212164672694e-05
0.02,21,6.371584623175257e-05
0.02,22,5.588643110450408e-05
0.02,23,4.901909455286347e-05
0.02,24,4.299561668412125e-05
0.02,25,3.771230435064071e-05
0.02,26,3.30782061350567e-05
0.02,27,2.901354667017871e-05
0.02,28,2.5448353343651333e-05
0.02,29,2.2321251748586606e-05
0.02,30,1.9578409145773354e-05
0.02,31,1.717260775064778e-05
0.02,32,1.5062431892803882e-05
0.02,33,1.3211555055876874e-05
0.02,34,1.158811452487216e-05
0.02,35,1.0164162876019553e-05
0.02,36,8.915186866956864e-06
0.02,37,7.81968544525152e-06
0.02,38,6.8587996109199e-06
0.02,39,6.0159877612158e-06
0.02,40,5.276740928894311e-06
0.02,41,4.628333011890878e-06
0.02,42,4.059601694707213e-06
0.02,43,3.560756290133947e-06
0.02,44,3.123209193358353e-06
0.02,45,2.7394280469809834e-06
0.02,46,2.402806071994289e-06
0.02,47,2.107548332496274e-06
0.02,48,1.8485719762060293e-06
0.02,49,1.6214187334371642e-06
0.02,50,1.4221781682112044e-06
0.02,51,1.2474203602885264e-06
0.02,52,1.0941368592456379e-06
0.02,53,9.596888941293125e-07
0.02,54,8.417619471216053e-07
0.02,55,7.383259092052553e-07
0.02,56,6.476001319123521e-07
0.02,57,5.680227735246131e-07
0.02,58,4.982239120221251e-07
0.02,59,4.370019619215994e-07
0.02,60,3.83302989021343e-07
0.02,61,3.3620256695737317e-07
0.02,62,2.948898632321858e-07
0.02,63,2.5865368075790307e-07
0.02,64,2.2687021461958033e-07
0.02,65,1.989923132918635e-07
0.02,66,1.7454005944126923e-07
0.02,67,1.5309250816295765e-07
0.02,68,1.3428044042604602e-07
0.02,69,1.1778000697827967e-07
0.02,70,1.0330715329009575e-07
0.02,71,9.061272956367637e-08
0.02,72,7.947820162595411e-08
0.02,73,6.971188886872778e-08
0.02,74,6.114566447214292e-08
0.02,75,5.3632061105983776e-08
0.02,76,4.704173228350979e-08
0.02,77,4.126122566511709e-08
0.02,78,3.6191029979311246e-08
0.02,79,3.1743861938791274e-08
0.02,80,2.7843163660953277e-08
0.02,81,2.4421784725949408e-08
0.02,82,2.14208261839679e-08
0.02,83,1.878862661135108e-08
0.02,84,1.6479872760534904e-08
0.02,85,1.4454819493672741e-08
0.02,86,1.2678605571121605e-08
0.02,87,1.1120653516107942e-08
0.02,88,9.75414322425912e-09
0.02,89,8.555550256202644e-09
0.02,90,7.504240864952405e-09
0.02,91,6.582116786489056e-09
0.02,92,5.773303678613693e-09
0.02,93,5.063877844557884e-09
0.02,94,4.441626536904122e-09
0.02,95,3.895837715454965e-09
0.02,96,3.4171156397380558e-09
0.02,97,2.997219121576801e-09
0.02,98,2.628919653248919e-09
0.02,99,2.3058769689127938e-09
0.04,0,0.001
0.04,1,0.0008971028571428572
0.04,2,0.0008047921023646708
0.04,3,0.0007219788540889161
0.04,4,0.0006476861748952734
0.04,5,0.0005810375736066069
0.04,6,0.0005212466862529553
0.04,7,0.0004676080154508387
0.04,8,0.00041948861996541514
0.04,9,0.0003763206572264541
0.04,10,0.0003375946914664978
0.04,11,0.00030285368904963653
0.04,12,0.00027168763056052204
0.04,13,0.00024372867641476225
0.04,14,0.00021864682921431952
0.04,15,0.00019614604187784574
0.04,16,0.0001759607257918186
0.04,17,0.00015785261791325444
0.04,18,0.0001416079699621883
0.04,19,0.00012703502662026402
0.04,20,0.00011396176304411604
0.04,21,0.0001022338550478661
0.04,22,9.171285804321235e-05
0.04,23,8.227457327992903e-05
0.04,24,7.380758213261384e-05
0.04,25,6.621193115683528e-05
0.04,26,5.939795241247277e-05
0.04,27,5.3285205144707146e-05
0.04,28,4.7801526342407564e-05
0.04,29,4.288217897628254e-05
0.04,30,3.846908787012944e-05
0.04,31,3.451015419130965e-05
0.04,32,3.095864047330402e-05
0.04,33,2.7772618914737045e-05
0.04,34,2.491447644536043e-05
0.04,35,2.235047071892108e-05
0.04,36,2.0050331793472708e-05
0.04,37,1.7986904798586515e-05
0.04,38,1.6135829372413548e-05
0.04,39,1.4475252085339005e-05
0.04,40,1.2985568456153387e-05
0.04,41,1.164919151582909e-05
0.04,42,1.045034418724697e-05
0.04,43,9.37487303025541e-06
0.04,44,8.410081153576601e-06
0.04,45,7.544578321272394e-06
0.04,46,6.76814648441181e-06
0.04,47,6.071619150636447e-06
0.04,48,5.446773167645396e-06
0.04,49,4.88623164314393e-06
0.04,50,4.383376855248273e-06
0.04,51,3.932272125262726e-06
0.04,52,3.52759173053639e-06
0.04,53,3.164558030012795e-06
0.04,54,2.838885060226618e-06
0.04,55,2.5467279358819975e-06
0.04,56,2.284637457667966e-06
0.04,57,2.0495193914368235e-06
0.04,58,1.8385979380163086e-06
0.04,59,1.6493829623969341e-06
0.04,60,1.4796405954157572e-06
0.04,61,1.3273668608708844e-06
0.04,62,1.190764016717131e-06
0.04,63,1.0682193310339704e-06
0.04,64,9.58286042200466e-07
0.04,65,8.596662784975095e-07
0.04,66,7.711957354898059e-07
0.04,67,6.918299302916733e-07
0.04,68,6.206318704368466e-07
0.04,69,5.567609917728228e-07
0.04,70,4.994632347820231e-07
0.04,71,4.4806214217201433e-07
0.04,72,4.019508726338954e-07
0.04,73,3.605850364840477e-07
0.04,74,3.234762686074454e-07
0.04,75,2.9018646282518295e-07
0.04,76,2.603225996175528e-07
0.04,77,2.3353210613908177e-07
0.04,78,2.0949869374611018e-07
0.04,79,1.8793862389496128e-07
0.04,80,1.6859735832604986e-07
0.04,81,1.512465539861269e-07
0.04,82,1.356813672108097e-07
0.04,83,1.2171803534065336e-07
0.04,84,1.0919170721938282e-07
0.04,85,9.795449696119522e-08
0.04,86,8.787373800994591e-08
0.04,87,7.883041687766957e-08
0.04,88,7.071776807117539e-08
0.04,89,6.344001361843669e-08
0.04,90,5.691123231363631e-08
0.04,91,5.105434533118452e-08
0.04,92,4.580020623287556e-08
0.04,93,4.1086784624812695e-08
0.04,94,3.6858433826359e-08
0.04,95,3.3065233905216114e-08
0.04,96,2.9662402322504784e-08
0.04,97,2.660976522992391e-08
0.04,98,2.3871283177122878e-08
0.04,99,2.1414625629788474e-08
0.06,0,0.001
0.06,1,0.0009170828571428572
0.06,2,0.0008410376686685188
0.06,3,0.0007712954296981187
0.06,4,0.0007073341660754013
0.06,5,0.0006486750603618757
0.06,6,0.0005948788948220768
0.06,7,0.0005455427857999946
0.06,8,0.000500297185900529
0.06,9,0.0004588031322532205
0.06,10,0.00042074972085912396
0.06,11,0.0003858517886147703
0.06,12,0.000353847786078562
0.06,13,0.00032449782540310283
0.06,14,0.00029758188910986483
0.06,15,0.0002728981865378023
0.06,16,0.0002502616458621459
0.06,17,0.0002295025305603343
0.06,18,0.00021046517010511883
0.06,19,0.00019300679549616673
0.06,20,0.00017699647100644374
0.06,21,0.00016231411422336576
0.06,22,0.00014884959711189983
0.06,23,0.0001365019214218607
0.06,24,0.00012517846230866613
0.06,25,0.00011479427453955703
0.06,26,0.00010527145611925841
0.06,27,9.653856459348274e-05
0.06,28,8.853008167855438e-05
0.06,29,8.118592222351956e-05
0.06,30,7.445098383995253e-05
0.06,31,6.827473383662526e-05
0.06,32,6.261083037344463e-05
0.06,33,5.7416775003575564e-05
0.06,34,5.26535940063014e-05
0.06,35,4.82855461276203e-05
0.06,36,4.4279854542397816e-05
0.06,37,4.060646103252801e-05
0.06,38,3.72378005413189e-05
0.06,39,3.414859441642802e-05
0.06,40,3.131566079324721e-05
0.06,41,2.8717740698699664e-05
0.06,42,2.6335338572910096e-05
0.06,43,2.415057601400843e-05
0.06,44,2.214705765022502e-05
0.06,45,2.0309748134163244e-05
0.06,46,1.8624859337365487e-05
0.06,47,1.7079746899638536e-05
0.06,48,1.566281535764098e-05
0.06,49,1.4363431141478966e-05
0.06,50,1.3171842786985277e-05
0.06,51,1.207910776540888e-05
0.06,52,1.1077025381820483e-05
0.06,53,1.0158075239013552e-05
0.06,54,9.315360805389043e-06
0.06,55,8.542557663566815e-06
0.06,56,7.83386605155294e-06
0.06,57,7.183967340471989e-06
0.06,58,6.5879841223871865e-06
0.06,59,6.04144360879981e-06
0.06,60,5.540244065244555e-06
0.06,61,5.0806240301656985e-06
0.06,62,4.6591340871399126e-06
0.06,63,4.2726109786618455e-06
0.06,64,3.9181538672714585e-06
0.06,65,3.5931025659090136e-06
0.06,66,3.2950175741551987e-06
0.06,67,3.021661770560799e-06
0.06,68,2.770983623694e-06
0.06,69,2.541101795926978e-06
0.06,70,2.3302910244322464e-06
0.06,71,2.1369691734415645e-06
0.06,72,1.959685360607945e-06
0.06,73,1.7971090683702508e-06
0.06,74,1.6480201586104808e-06
0.06,75,1.5112997156715266e-06
0.06,76,1.3859216490187313e-06
0.06,77,1.270944992528637e-06
0.06,78,1.1655068426155881e-06
0.06,79,1.0688158822005798e-06
0.06,80,9.801464419228572e-07
0.06,81,8.988330540262449e-07
0.06,82,8.242654580492725e-07
0.06,83,7.558840208385767e-07
0.06,84,6.931755365142506e-07
0.06,85,6.356693748670929e-07
0.06,86,5.829339492824752e-07
0.06,87,5.345734776834176e-07
0.06,88,4.902250121844199e-07
0.06,89,4.495557151641498e-07
0.06,90,4.1226036131435907e-07
0.06,91,3.780590469182657e-07
0.06,92,3.466950891668268e-07
0.06,93,3.1793309974750505e-07
0.06,94,2.9155721824799554e-07
0.06,95,2.673694921167559e-07
0.06,96,2.45188391022056e-07
0.06,97,2.248474444598994e-07
0.06,98,2.0619399238613013e-07
0.06,99,1.8908803949626722e-07
0.08,0,0.001
0.08,1,0.0009370628571428571
0.08,2,0.0008780808070316513
0.08,3,0.0008228060354006034
0.08,4,0.0007710061659114152
0.08,5,0.0007224633093660718
0.08,6,0.000676973170131872
0.08,7,0.0006343442065028101
0.08,8,0.0005943968418878975
0.08,9,0.0005569627238778143
0.08,10,0.0005218840283961963
0.08,11,0.0004890128062907512
0.08,12,0.00045821036986219157
0.08,13,0.00042934671696565936
0.08,14,0.0004022999904499323
0.08,15,0.0003769559708243234
0.08,16,0.00035320760016192013
0.08,17,0.0003309545353607904
0.08,18,0.00031010272899216257
0.08,19,0.0002905640360665376
0.08,20,0.00027225584514539063
0.08,21,0.0002551007323177556
0.08,22,0.00023902613664775776
0.08,23,0.00022396405578125532
0.08,24,0.00020985076047737718
0.08,25,0.00019662652690409103
0.08,26,0.00018423538560620212
0.08,27,0.00017262488611955847
0.08,28,0.0001617458762669111
0.08,29,0.00015155229522902967
0.08,30,0.00014200097953948385
0.08,31,0.0001330514812031373
0.08,32,0.0001246658971870341
0.08,33,0.0001168087095781407
0.08,34,0.00010944663574549838
0.08,35,0.0001025484878848833
0.08,36,9.608504136220716e-05
0.08,37,9.00289113077533e-05
0.08,38,8.435443694705802e-05
0.08,39,7.903757318593774e-05
0.08,40,7.405578899694323e-05
0.08,41,6.938797218250313e-05
0.08,42,6.501434011630437e-05
0.08,43,6.091635608914457e-05
0.08,44,5.70766509086757e-05
0.08,45,5.3478949424226946e-05
0.08,46,5.010800166833128e-05
0.08,47,4.694951832576435e-05
0.08,48,4.3990110258909984e-05
0.08,49,4.121723183516485e-05
0.08,50,3.861912781795165e-05
0.08,51,3.618478359778868e-05
0.08,52,3.39038785538227e-05
0.08,53,3.1766742349327335e-05
0.08,54,2.976431397695341e-05
0.08,55,2.7888103381040004e-05
0.08,56,2.613015549510182e-05
0.08,57,2.4483016542744028e-05
0.08,58,2.2939702459760565e-05
0.08,59,2.1493669304085203e-05
0.08,60,2.0138785528622525e-05
0.08,61,1.88693059998228e-05
0.08,62,1.7679847652212437e-05
0.08,63,1.656536667598091e-05
0.08,64,1.552113714118349e-05
0.08,65,1.4542730968174204e-05
0.08,66,1.3625999159559606e-05
0.08,67,1.2767054214284942e-05
0.08,68,1.196225364945228e-05
0.08,69,1.120818456014563e-05
0.08,70,1.050164915192066e-05
0.08,71,9.839651184724468e-06
0.08,72,9.219383270861115e-06
0.08,73,8.638214973227398e-06
0.08,74,8.093681653425681e-06
0.08,75,7.58347402253059e-06
0.08,76,7.105428350257465e-06
0.08,77,6.657517291064838e-06
0.08,78,6.237841288332806e-06
0.08,79,5.844620520204727e-06
0.08,80,5.476187352971599e-06
0.08,81,5.130979270026339e-06
0.08,82,4.807532246427999e-06
0.08,83,4.504474541002262e-06
0.08,84,4.2205208796721805e-06
0.08,85,3.9544670053696296e-06
0.08,86,3.7051845714301993e-06
0.08,87,3.4716163568288933e-06
0.08,88,3.2527717829770694e-06
0.08,89,3.047722713078392e-06
0.08,90,2.8555995162384857e-06
0.08,91,2.6755873796445687e-06
0.08,92,2.5069228531823318e-06
0.08,93,2.3488906118421612e-06
0.08,94,2.2008204221896112e-06
0.08,95,2.0620843000397626e-06
0.08,96,1.9320938472853564e-06
0.08,97,1.8102977565878427e-06
0.08,98,1.6961794733519061e-06
0.08,99,1.589255005070646e-06
0.1,0,0.001
0.1,1,0.0009570428571428572
0.1,2,0.0009159214695500205
0.1,3,0.0008765581939616144
0.1,4,0.0008388786027876405
0.1,5,0.0008028113567341023
0.1,6,0.000768288081973317
0.1,7,0.0007352432517411146
0.1,8,0.0007036140722422521
0.1,9,0.0006733403727445761
0.1,10,0.0006443644997421762
0.1,11,0.0006166312150679358
0.1,12,0.0005900875978364494
0.1,13,0.0005646829500991774
0.1,14,0.0005403687060949277
0.1,15,0.0005170983449802212
0.1,16,0.0004948273069258055
0.1,17,0.0004735129124674724
0.1,18,0.00045311428500139636
0.1,19,0.0004335922763164078
0.1,20,0.00041490939505792467
0.1,21,0.00039702973802066836
0.1,22,0.0003799189241697644
0.1,23,0.0003635440312923561
0.1,24,0.00034787353518442993
0.1,25,0.00033287725128014326
0.1,26,0.00031852627863355505
0.1,27,0.0003047929461652684
0.1,28,0.0002916507610890985
0.1,29,0.0002790743594364672
0.1,30,0.0002670394585987915
0.1,31,0.0002555228118106691
0.1,32,0.0002445021644991683
0.1,33,0.00023395621242699118
0.1,34,0.0002238645615597
0.1,35,0.00021420768958957165
0.1,36,0.0002049669090509683
0.1,37,0.00019612433196438642
0.1,38,0.00018766283594856675
0.1,39,0.00017956603174221203
0.1,40,0.00017181823207897007
0.1,41,0.0001644044218613919
0.1,42,0.00015731022958157142
0.1,43,0.00015052189993811177
0.1,44,0.00014402626760094605
0.1,45,0.00013781073207736464
0.1,46,0.0001318632336343711
0.1,47,0.0001261722302342006
0.1,48,0.0001207266754414939
0.1,49,0.00011551599726222237
0.1,50,0.00011053007787601078
0.1,51,0.00010575923422500136
0.1,52,0.00010119419942384995
0.1,53,9.682610495684031e-05
0.1,54,9.264646362945039e-05
0.1,55,8.864715324300292e-05
0.1,56,8.48204009622852e-05
0.1,57,8.115876834722998e-05
0.1,58,7.765513702091156e-05
0.1,59,7.430269494723129e-05
0.1,60,7.109492329274423e-05
0.1,61,6.802558384811612e-05
0.1,62,6.50887069856983e-05
0.1,63,6.227858013066771e-05
