beta,r0
0.02,0.14
0.04,0.28
0.06,0.42
0.08,0.56
0.1,0.7000000000000001
0.12,0.84
0.14,0.9800000000000001
0.16,1.12
0.18,1.26
0.2,1.4000000000000001
0.22,1.54
0.24,1.68
0.26,1.82
0.28,1.9600000000000002
0.3,2.1
0.32,2.24
0.34,2.3800000000000003
0.36,2.52
0.38,2.66
0.4,2.8000000000000003
0.42,2.94
0.44,3.08
0.46,3.22
0.48,3.36
0.5,3.5
0.52,3.64
0.54,3.7800000000000002
0.56,3.9200000000000004
0.58,4.06
0.6,4.2
0.62,4.34
0.64,4.48
0.66,4.62
0.68,4.760000000000001
0.7000000000000001,4.9
0.72,5.04
0.74,5.180000000000001
0.76,5.32
0.78,5.460000000000001
0.8,5.6000000000000005
0.8200000000000001,5.740000000000001
0.84,5.88
0.86,6.0200000000000005
0.88,6.16
0.9,6.300000000000001
0.92,6.44
0.9400000000000001,6.580000000000001
0.96,6.72
0.98,6.86
1.0,7.0
