day,alpha,prop_infected
1,0.5,0.001
2,0.5,0.001456242857142857
3,0.5,0.0021199891292505916
4,0.5,0.0030848811655783213
5,0.5,0.004486002640054856
6,0.5,0.00651730677610051
7,0.5,0.009455355995381236
8,0.5,0.01369049977783758
9,0.5,0.019765363476597925
10,0.5,0.028417109978368618
11,0.5,0.0406123541844509
12,0.5,0.05754903613650554
13,0.5,0.08057588190300839
14,0.5,0.11095153976862378
15,0.5,0.14935585780520239
16,0.5,0.19513546257758932
17,0.5,0.2454979903526367
18,0.5,0.29524249461667884
19,0.5,0.3377581720984317
20,0.5,0.36731481402348154
21,0.5,0.3812921769511858
22,0.5,0.3806637533609639
23,0.5,0.3686592621999176
24,0.5,0.3490262149144344
25,0.5,0.32497852346432626
26,0.5,0.29889216772201443
27,0.5,0.2723835822824212
28,0.5,0.24649240894628693
29,0.5,0.22185189648052628
30,0.5,0.19881869664115037
31,0.5,0.17756480679335157
32,0.5,0.15814097382559045
33,0.5,0.14052002479343723
34,0.5,0.12462638766853008
35,0.5,0.11035614846636242
36,0.5,0.09759060626451703
37,0.5,0.08620534291673956
38,0.5,0.0760761890687227
39,0.5,0.06708304012376165
40,0.5,0.05911218510396273
41,0.5,0.05205761193327013
42,0.5,0.045821614561078604
43,0.5,0.04031493089240969
44,0.5,0.035456572654702645
45,0.5,0.03117346035508014
46,0.5,0.027399942410795377
47,0.5,0.02407725327428569
48,0.5,0.021152948077878757
49,0.5,0.018580338997568217
50,0.5,0.016317949771670552
51,0.5,0.014328998606681914
52,0.5,0.012580915342546807
53,0.5,0.011044895717602988
54,0.5,0.009695493497811068
55,0.5,0.008510249846271127
56,0.5,0.007469358412092978
57,0.5,0.006555364070451805
58,0.5,0.005752892944930713
59,0.5,0.005048411214070518
60,0.5,0.004430010192079335
61,0.5,0.0038872152396489078
62,0.5,0.0034108161765751513
63,0.5,0.002992717013270212
64,0.5,0.0026258029790860787
65,0.5,0.002303822991773524
66,0.5,0.0020212858776528985
67,0.5,0.0017733688117367217
68,0.5,0.0015558365983249017
69,0.5,0.0013649705538736072
70,0.5,0.0011975058844290363
71,0.5,0.0010505765694038005
72,0.5,0.0009216668721324147
73,0.5,0.0008085686959049133
74,0.5,0.0007093440926333771
75,0.5,0.0006222923106333674
76,0.5,0.0005459208389189127
77,0.5,0.0004789199686396674
78,0.5,0.0004201404485391832
79,0.5,0.00036857386125920986
80,0.5,0.00032333539159121085
81,0.5,0.00028364869697193254
82,0.5,0.0002488326251764797
83,0.5,0.0002182895547740842
84,0.5,0.0001914951609266912
85,0.5,0.00016798943293294335
86,0.5,0.00014736879091340924
87,0.5,0.0001292791675222894
88,0.5,0.00011340993684680589
89,0.5,9.948858697675479e-05
90,0.5,8.727604532323358e-05
91,0.5,7.656257684138395e-05
92,0.5,6.716418504788422e-05
93,0.5,5.8919454279822e-05
94,0.5,5.168677915883408e-05
95,0.5,4.534193382782858e-05
96,0.5,3.977593932731208e-05
97,0.5,3.4893192571403965e-05
98,0.5,3.0609824855552925e-05
99,0.5,2.6852261754081873e-05
100,0.5,2.3555959712256955e-05
1,0.52,0.001
2,0.52,0.0014682068571428572
3,0.52,0.002151487339954876
4,0.52,0.003148270112871435
5,0.52,0.004601081459216462
6,0.52,0.006715293823920343
7,0.52,0.009784694455639063
8,0.52,0.014225024824778894
9,0.52,0.02061513069873499
10,0.52,0.029741314935082933
11,0.52,0.04263156105413624
12,0.52,0.06054933150267413
13,0.52,0.08488973966024443
14,0.52,0.11689071505947107
15,0.52,0.1570697320849751
16,0.52,0.2043965122602846
17,0.52,0.2555000897388647
18,0.52,0.3046088605928941
19,0.52,0.3449364405780099
20,0.52,0.37122728517360293
21,0.52,0.3817588467126134
22,0.52,0.37827784198851633
23,0.52,0.36433684060689797
24,0.52,0.3436294562483101
25,0.52,0.3191578692585707
26,0.52,0.29307861609567026
27,0.52,0.2668364895198508
28,0.52,0.24135236832778034
29,0.52,0.2171825422014906
30,0.52,0.19463596132543626
31,0.52,0.173856300103088
32,0.52,0.15487845706588413
