day,lambda,value,group
1,1.0,0.001,misinformed
2,1.0,0.001006842857142857,misinformed
3,1.0,0.0010361355851668775,misinformed
4,1.0,0.0010883123686052766,misinformed
5,1.0,0.0011643028868356235,misinformed
6,1.0,0.0012655440358416803,misinformed
7,1.0,0.0013940012156777588,misinformed
8,1.0,0.0015521990132302626,misinformed
9,1.0,0.0017432611387227684,misinformed
10,1.0,0.0019709594432568644,misinformed
11,1.0,0.0022397717371375313,misinformed
12,1.0,0.002554947922915372,misinformed
13,1.0,0.002922583624611049,misinformed
14,1.0,0.0033496999996512566,misinformed
15,1.0,0.003844327718677421,misinformed
16,1.0,0.004415592138353802,misinformed
17,1.0,0.005073795414068789,misinformed
18,1.0,0.005830489639025852,misinformed
19,1.0,0.006698532991144939,misinformed
20,1.0,0.00769211826883433,misinformed
21,1.0,0.008826760079346721,misinformed
22,1.0,0.010119223342164096,misinformed
23,1.0,0.011587371809522674,misinformed
24,1.0,0.01324991125327178,misinformed
25,1.0,0.015125998292047768,misinformed
26,1.0,0.01723468327925593,misinformed
27,1.0,0.019594155324028674,misinformed
28,1.0,0.022220760835295526,misinformed
29,1.0,0.025127775774904788,misinformed
30,1.0,0.02832392809409521,misinformed
31,1.0,0.03181169249336173,misinformed
32,1.0,0.035585415864444435,misinformed
33,1.0,0.039629378164527704,misinformed
34,1.0,0.04391594705979696,misinformed
35,1.0,0.04840403887981798,misinformed
36,1.0,0.05303814252980544,misinformed
37,1.0,0.057748182699682585,misinformed
38,1.0,0.062450478296779584,misinformed
39,1.0,0.06704997863294346,misinformed
40,1.0,0.07144382908639803,misinformed
41,1.0,0.07552613923596713,misinformed
42,1.0,0.07919362602521149,misinformed
43,1.0,0.08235162267122224,misinformed
44,1.0,0.08491982618698711,misinformed
45,1.0,0.08683713928711173,misinformed
46,1.0,0.0880650605618668,misinformed
47,1.0,0.08858927484814075,misinformed
48,1.0,0.08841935150651804,misinformed
49,1.0,0.08758671551129121,misinformed
50,1.0,0.08614126198113695,misinformed
51,1.0,0.08414710461204387,misinformed
52,1.0,0.08167797347999663,misinformed
53,1.0,0.07881272199198011,misinformed
54,1.0,0.07563129464179782,misinformed
55,1.0,0.07221137831142022,misinformed
56,1.0,0.06862583667284151,misinformed
57,1.0,0.06494092687525942,misinformed
58,1.0,0.06121522742230106,misinformed
59,1.0,0.057499165562462026,misinformed
60,1.0,0.05383501662100797,misinformed
61,1.0,0.050257249638640894,misinformed
62,1.0,0.046793106709423826,misinformed
63,1.0,0.043463321962571,misinformed
64,1.0,0.04028290618339987,misinformed
65,1.0,0.03726194205474953,misinformed
66,1.0,0.034406351536619424,misinformed
67,1.0,0.03171861044466817,misinformed
68,1.0,0.029198395829904064,misinformed
69,1.0,0.026843159594153072,misinformed
70,1.0,0.024648627324315383,misinformed
71,1.0,0.02260922504773472,misinformed
72,1.0,0.020718438925846534,misinformed
73,1.0,0.018969114180090667,misinformed
74,1.0,0.017353700082427426,misinformed
75,1.0,0.015864447877642376,misinformed
76,1.0,0.014493568214020217,misinformed
77,1.0,0.01323335417369686,misinformed
78,1.0,0.012076275407200292,misinformed
79,1.0,0.011015048252496953,misinformed
80,1.0,0.010042686099668406,misinformed
81,1.0,0.009152533674675892,misinformed
82,1.0,0.008338288374745921,misinformed
83,1.0,0.007594011301111372,misinformed
84,1.0,0.00691413020429492,misinformed
85,1.0,0.006293436181564933,misinformed
