recovery,day,prop_infected
1,0,0.001
1,1,0.00029969999999999997
1,2,8.979314397299998e-05
1,3,2.6900513104522117e-05
1,4,8.058723416516621e-06
1,5,2.4141732446286666e-06
1,6,7.232185624712926e-07
1,7,2.1665583091451103e-07
1,8,6.49039464979317e-08
1,9,1.9443381604016564e-08
1,10,5.824685573634131e-09
1,11,1.7449105574719859e-09
1,12,5.227257007724101e-10
1,13,1.5659379040083498e-10
1,14,4.6911057084089493e-11
1,15,1.4053221848773811e-11
1,16,4.20994657984496e-12
1,17,1.2611805602869635e-12
1,18,3.778139165134743e-13
1,19,1.1318233090963382e-13
1,20,3.3906215388652946e-14
1,21,1.0157340220352653e-14
1,22,3.0428509690444543e-15
1,23,9.115518254731935e-16
1,24,2.730750664349646e-16
1,25,8.180554283871952e-17
1,26,2.450661983352981e-17
1,27,7.341488056001233e-18
1,28,2.1993015455630724e-18
1,29,6.588483494653671e-19
1,30,1.973722741517483e-19
1,31,5.912713393824878e-20
1,32,1.7712811907227257e-20
1,33,5.306255939759899e-21
1,34,1.5896037425175128e-21
1,35,4.762001846333893e-22
1,36,1.4265606564673513e-22
1,37,4.273571015406676e-23
1,38,1.2802406361710867e-23
1,39,3.835237745189964e-24
1,40,1.1489284238095484e-24
1,41,3.441863609871492e-25
1,42,1.0310846927851211e-25
1,43,3.088837223667564e-26
1,44,9.253280027407679e-27
1,45,2.772020183179359e-27
1,46,8.30418605423578e-28
1,47,2.4876985543543597e-28
1,48,7.452439115547132e-29
1,49,2.232539335351709e-29
1,50,6.688054483390067e-30
1,51,2.0035513849410997e-30
1,52,6.002071547217204e-31
1,53,1.798050358412614e-31
1,54,5.386448771818903e-32
1,55,1.6136272399536054e-32
1,56,4.833969429251692e-33
1,57,1.4481201026088141e-33
1,58,4.338156999690399e-34
1,59,1.2995887647757214e-34
1,60,3.8931992494781067e-35
1,61,1.166292046142199e-35
1,62,3.4938800963677906e-36
1,63,1.04666735644587e-36
1,64,3.1355184632359644e-37
1,65,9.393123777814191e-38
1,66,2.813913403472073e-38
1,67,8.42968625724035e-39
1,68,2.52529485476798e-39
1,69,7.565066965618394e-40
1,70,2.2662794440116553e-40
1,71,6.789130276958415e-41
1,72,2.0338308252014659e-41
1,73,6.0927801600426e-42
1,74,1.8252240854364832e-42
1,75,5.4678535488701325e-43
1,76,1.638013801726819e-43
1,77,4.907024649923142e-44
1,78,1.4700053741652848e-44
1,79,4.403719064481702e-45
1,80,1.3192292994092898e-45
1,81,3.9520367192741414e-46
1,82,1.1839180828901122e-46
1,83,3.54668270200596e-47
1,84,1.0624855190995373e-47
1,85,3.182905190976727e-48
1,86,9.535080970640031e-49
1,87,2.85643975115583e-49
1,88,8.557083130291971e-50
1,89,2.5634593437196845e-50
1,90,7.67939694735622e-51
1,91,2.300529463029891e-51
1,92,6.891733617300016e-52
1,93,2.0645678751390133e-52
1,94,6.184859641638213e-53
1,95,1.8528084858527362e-53
1,96,5.550488586898022e-54
1,97,1.6627689147864715e-54
1,98,4.981183945691767e-55
1,99,1.4922213952985594e-55
2,0,0.001
2,1,0.0007997
2,2,0.0006394481889729999
2,3,0.0005112632607466315
2,4,0.0004087451345322876
2,5,0.00032676509090158776
2,6,0.00026121539182788977
2,7,0.00020880742049684016
2,8,0.00016690922750942018
2,9,0.00013341497457787125
2,10,0.00010664012978289119
2,11,8.523740963041852e-05
2,12,6.81294085003135e-05
2,13,5.445463299737953e-05
2,14,4.352429334694415e-05
2,15,3.4787719968756214e-05
2,16,2.7804691378423096e-05
2,17,2.222329725385242e-05
2,18,1.776223269760107e-05
2,19,1.4196638745080629e-05
2,20,1.1346780158472214e-05
2,21,9.068992806404211e-06
2,22,7.2484462153789816e-06
2,23,5.793357667986214e-06
2,24,4.6303669428583505e-06
2,25,3.7008390129172938e-06
2,26,2.957908616114351e-06
2,27,2.3641178969757164e-06
2,28,1.8895281427590126e-06
2,29,1.510210492781209e-06
2,30,1.2070395760876887e-06
2,31,9.647292864531078e-07
2,32,7.71062099696894e-07
2,33,6.162730887430132e-07
2,34,4.925575866906395e-07
2,35,3.9367767933377245e-07
2,36,3.1464768956726306e-07
2,37,2.5148279765232025e-07
2,38,2.0099812385980232e-07
2,39,1.6064814385356552e-07
2,40,1.2839834046875637e-07
2,41,1.0262262072987559e-07
2,42,8.202132593873907e-08
2,43,6.555570091031842e-08
2,44,5.2395518276058784e-08
2,45,4.187721703955921e-08
2,46,3.347044469371367e-08
2,47,2.6751315916411388e-08
2,48,2.138103951464963e-08
2,49,1.708883595789408e-08
2,50,1.365828417717415e-08
2,51,1.0916409213945985e-08
2,52,8.724960499991405e-09
2,53,6.973441004374944e-09
2,54,5.573535764876887e-09
2,55,4.454658880535535e-09
2,56,3.5603944366093464e-09
2,57,2.845651906880012e-09
2,58,2.2743926034226377e-09
2,59,1.817812537205832e-09
2,60,1.4528900659480699e-09
2,61,1.1612250989005903e-09
2,62,9.281113290679098e-10
2,63,7.417947130555338e-10
2,64,5.928808096894969e-10
2,65,4.738610942923637e-10
2,66,3.7873436447808295e-10
2,67,3.027041480229287e-10
2,68,2.4193685553900045e-10
2,69,1.933684835454428e-10
2,70,1.5455012153623915e-10
2,71,1.2352447321506866e-10
2,72,9.872716586131928e-11
2,73,7.890787165635265e-11
2,74,6.306726375608296e-11
2,75,5.040662831417107e-11
2,76,4.028759179741528e-11
2,77,3.219993296734083e-11
2,78,2.5735856546359046e-11
2,79,2.056943139739318e-11
2,80,1.6440156450541727e-11
2,81,1.3139825739272379e-11
2,82,1.050203025607076e-11
2,83,8.393767290963355e-12
2,84,6.708734179663602e-12
2,85,5.361968319254983e-12
2,86,4.2855631907171635e-12
2,87,3.425244381930753e-12
2,88,2.7376329676705126e-12
2,89,2.1880582609550836e-12
2,90,1.7488096504792398e-12
2,91,1.3977393784174701e-12
2,92,1.1171458079746366e-12
2,93,8.928808728907089e-13
2,94,7.136367047908883e-13
